rev,workload,condition,sample,echoes,payload,cpu_ns,slices,vcsw,nvcsw,threads
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,2,100,1550274,337201158,31298,31112,187,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,3,100,1550274,336361703,31531,31374,158,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,4,100,1550274,335656739,31386,31184,203,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,5,100,1550274,334064311,31112,30937,177,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,6,100,1550274,334083145,31615,31441,175,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,7,100,1550274,336706222,31410,31274,136,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,8,100,1550274,334010243,31106,30939,169,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,9,100,1550274,337228212,31596,31404,192,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,10,100,1550274,337239590,31585,31413,174,18
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,0,100,1,3886810,531,530,1,19
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,1,100,1,4738388,515,514,1,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,2,100,1,5192439,532,530,2,55
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,3,100,1,5439007,510,509,1,73
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,4,100,1,6391748,570,567,3,91
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,5,100,1,6964718,541,537,4,109
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,6,100,1,7537168,545,542,3,127
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,7,100,1,7930448,534,533,1,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,8,100,1,7838489,538,538,0,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,9,100,1,8132017,561,560,1,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial,discovery,10,100,1,8715668,535,527,8,163
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,0,100,115,3469819,518,518,0,19
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,1,100,115,4584709,546,545,1,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,2,100,115,5473950,515,514,1,55
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,3,100,115,5810749,530,527,3,73
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,4,100,115,6427878,524,519,5,91
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,5,100,115,6973127,539,530,9,109
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,6,100,115,7041838,500,497,3,127
