workload,cols,rows,repeats,keys,window_s,updates,updates_per_s,bytes_per_s,bytes_median,bytes_p95,bytes_max,cells_median,cells_p95,rows_median,row_diff_median,row_diff_p95,row_diff_per_s,cell_diff_median,cell_diff_p95,cell_diff_per_s,scrolled_share,scroll_cells_median,scroll_diff_median,scroll_diff_p95,scroll_diff_per_s,after_keys_updates_per_s,after_keys_bytes_per_s
burst,80,24,3,48,10.6,513,48.4,5243658,106322,146489,205892,789,977,23,106031,145900,4859465,106031,142534,4833442,0.91,490,79909,106183,3599196,76.7,8442816
editor,80,24,3,699,75.7,710,9.4,1569336,183178,226528,235907,2,1342,2,6578,203077,413445,524,194614,357205,0.26,2,524,12915,42168,200.0,21105200
pager,80,24,3,1851,77.0,1854,24.1,2766030,113302,157622,223833,731,1108,23,113032,157352,2698314,111454,155392,2642886,0.98,17,2977,10799,105403,230.8,21409154
typing,80,24,3,924,92.2,926,10.0,832091,92500,106005,109026,1,1,1,2757,12603,65265,362,362,30439,0.03,1,362,362,4516,53.6,5491393
burst,200,50,3,48,10.4,449,43.0,8505721,193565,248629,312656,1744,2120,49,192571,248629,7758007,193565,248629,7759487,0.90,1073,174765,231248,6976027,68.1,13642164
editor,200,50,3,699,75.7,705,9.3,2723863,324566,327905,329505,2,1732,1,6256,281805,338200,525,277237,293905,0.11,2,525,10143,65637,21.9,3905474
pager,200,50,3,1851,77.0,1855,24.1,4937584,202796,251753,325816,1601,1962,49,202585,251560,4818293,202796,251753,4826947,0.97,19,3297,11126,116578,61.5,11072354
typing,200,50,3,924,92.2,924,10.0,1660676,166294,180047,184659,1,1,1,2838,11662,97012,362,363,67656,0.04,1,362,363,4516,30.9,5312753
