workload,condition,cache,boundary,n,fail,median_ms,p95_ms
iroh_dial,relay,cold,address_lookup,21,0,0.099,0.121
iroh_dial,relay,cold,dial_handshake,21,0,193.631,201.419
iroh_dial,relay,cold,echo_rtt,420,0,76.196,78.329
iroh_dial,relay,cold,endpoint_bind,21,0,1.491,1.611
iroh_dial,relay,cold,process_spawn,21,0,0.648,0.727
iroh_dial,relay,cold,runtime_start,21,0,0.351,0.435
iroh_dial,relay,cold,stream_open,21,0,94.137,96.805
iroh_dial,relay,warm,address_lookup,20,0,0.102,0.109
iroh_dial,relay,warm,dial_handshake,20,0,78.393,78.623
iroh_dial,relay,warm,echo_rtt,400,0,78.027,78.541
iroh_dial,relay,warm,stream_open,20,0,91.933,92.096
iroh_session,discovery,cold,address_lookup,21,0,1.589,128.581
iroh_session,discovery,cold,dial_handshake,21,0,200.181,201.311
iroh_session,discovery,cold,echo_rtt,420,0,0.033,0.063
iroh_session,discovery,cold,endpoint_bind,21,0,1.432,1.655
iroh_session,discovery,cold,process_spawn,21,0,0.655,0.749
iroh_session,discovery,cold,runtime_start,21,0,0.377,0.417
iroh_session,discovery,cold,stream_open,21,0,86.776,96.670
iroh_session,discovery,warm,echo_rtt,400,0,0.032,0.040
iroh_session,discovery,warm,stream_open,20,0,0.045,0.056
iroh_session,relay,cold,address_lookup,21,0,0.090,0.124
iroh_session,relay,cold,dial_handshake,21,0,195.020,201.523
iroh_session,relay,cold,echo_rtt,420,0,76.399,78.197
iroh_session,relay,cold,endpoint_bind,21,0,1.457,1.650
iroh_session,relay,cold,process_spawn,21,0,0.678,0.763
iroh_session,relay,cold,runtime_start,21,0,0.367,0.416
iroh_session,relay,cold,stream_open,21,0,94.921,96.612
iroh_session,relay,warm,echo_rtt,400,0,75.642,76.026
iroh_session,relay,warm,stream_open,20,0,75.644,75.765
