rev,workload,condition,cache,sample,boundary,ms,status
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,process_spawn,0.639,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,runtime_start,0.336,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,endpoint_bind,1.552,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,address_lookup,0.099,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,dial_handshake,192.824,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,stream_open,93.739,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.177,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.926,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.908,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.927,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.064,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.913,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.934,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.040,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.010,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.944,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.079,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.985,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.955,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.438,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.893,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.995,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.009,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.987,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.949,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.002,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,process_spawn,0.666,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,runtime_start,0.428,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,endpoint_bind,1.438,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,address_lookup,0.090,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,dial_handshake,192.156,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,stream_open,92.846,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.847,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.016,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.720,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.674,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.007,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.919,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.638,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,76.155,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.783,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.714,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.775,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.811,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.733,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.861,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.897,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.741,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.810,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.702,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.803,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,75.702,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,process_spawn,0.682,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,runtime_start,0.435,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,endpoint_bind,1.611,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,address_lookup,0.091,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,dial_handshake,201.419,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,stream_open,95.837,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.003,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.969,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.051,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.920,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.932,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.028,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.206,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.718,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.443,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.949,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.961,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.014,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.992,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.175,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.012,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.133,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.150,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.946,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.560,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.011,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,process_spawn,0.624,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,runtime_start,0.379,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,endpoint_bind,1.573,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,address_lookup,0.090,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,dial_handshake,201.334,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,stream_open,96.805,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.962,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.994,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.935,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.919,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.939,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.205,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.095,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.953,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.948,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.055,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.274,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,78.504,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,echo_rtt,77.958,ok
