rev,workload,condition,cache,sample,boundary,ms,status
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,1.779,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.702,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.695,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.674,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.636,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.650,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.642,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.631,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.768,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.638,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.662,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.821,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.781,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.756,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.813,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.776,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.838,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.954,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.649,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.666,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,cold,0,process_ready,0.645,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,1,process_ready,0.663,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,2,process_ready,0.670,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,3,process_ready,0.634,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,4,process_ready,0.611,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,5,process_ready,0.627,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,6,process_ready,0.612,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,7,process_ready,0.597,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,8,process_ready,0.714,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,9,process_ready,0.644,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,10,process_ready,0.598,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,11,process_ready,0.669,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,12,process_ready,0.769,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,13,process_ready,0.714,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,14,process_ready,0.668,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,15,process_ready,0.645,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,16,process_ready,0.643,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,17,process_ready,0.616,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,18,process_ready,0.735,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,19,process_ready,0.600,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,local,warm,20,process_ready,0.609,ok
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4008.098,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.327,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.239,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4004.151,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4003.439,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.452,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.323,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.428,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.365,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.273,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.262,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.328,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.509,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.710,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.207,fail:broker exited
3fd2f4b80e433bf4e2d95ee52928200950227b4c,broker_ready,offline,cold,0,process_ready,4002.286,fail:broker exited
