workload,condition,cache,boundary,n,fail,median_ms,p95_ms
iroh_dial,discovery_dnscold,cold,address_lookup,10,0,129.913,132.855
iroh_dial,discovery_dnscold,cold,dial_handshake,10,0,191.235,198.888
iroh_dial,discovery_dnscold,cold,echo_rtt,200,0,0.032,0.093
iroh_dial,discovery_dnscold,cold,endpoint_bind,10,0,1.506,1.595
iroh_dial,discovery_dnscold,cold,process_spawn,10,0,0.688,0.786
iroh_dial,discovery_dnscold,cold,runtime_start,10,0,0.361,0.455
iroh_dial,discovery_dnscold,cold,stream_open,10,0,81.801,91.217
iroh_dial,peerdown,cold,address_lookup,10,0,64.540,134.590
iroh_dial,peerdown,cold,dial_handshake,0,10,-,-
iroh_dial,peerdown,cold,endpoint_bind,10,0,1.416,1.500
iroh_dial,peerdown,cold,process_spawn,10,0,0.711,0.750
iroh_dial,peerdown,cold,runtime_start,10,0,0.393,0.415
iroh_dial,relayhint,cold,address_lookup,11,0,0.092,0.106
iroh_dial,relayhint,cold,dial_handshake,11,0,194.319,201.442
iroh_dial,relayhint,cold,echo_rtt,220,0,0.033,0.082
iroh_dial,relayhint,cold,endpoint_bind,11,0,1.434,1.551
iroh_dial,relayhint,cold,process_spawn,11,0,0.714,0.726
iroh_dial,relayhint,cold,runtime_start,11,0,0.355,0.464
iroh_dial,relayhint,cold,stream_open,11,0,85.648,95.067
iroh_dial,relayhint,warm,address_lookup,10,0,0.083,0.091
iroh_dial,relayhint,warm,dial_handshake,10,0,0.337,0.401
iroh_dial,relayhint,warm,echo_rtt,200,0,0.031,0.060
iroh_dial,relayhint,warm,stream_open,10,0,0.165,0.230
iroh_dial,staleip,cold,address_lookup,11,0,0.097,0.117
iroh_dial,staleip,cold,dial_handshake,11,0,1193.852,1201.347
iroh_dial,staleip,cold,echo_rtt,220,0,0.031,0.088
iroh_dial,staleip,cold,endpoint_bind,11,0,1.417,1.566
iroh_dial,staleip,cold,process_spawn,11,0,0.709,0.773
iroh_dial,staleip,cold,runtime_start,11,0,0.392,0.414
iroh_dial,staleip,cold,stream_open,11,0,84.774,99.050
iroh_dial,staleip,warm,address_lookup,10,0,0.082,0.108
iroh_dial,staleip,warm,dial_handshake,10,0,0.350,0.420
iroh_dial,staleip,warm,echo_rtt,200,0,0.033,0.052
iroh_dial,staleip,warm,stream_open,10,0,0.164,0.190
iroh_dial,stalerelay,cold,address_lookup,11,0,0.095,0.125
iroh_dial,stalerelay,cold,dial_handshake,11,0,1192.570,1200.982
iroh_dial,stalerelay,cold,echo_rtt,220,0,0.033,0.105
iroh_dial,stalerelay,cold,endpoint_bind,11,0,1.465,1.579
iroh_dial,stalerelay,cold,process_spawn,11,0,0.694,0.731
iroh_dial,stalerelay,cold,runtime_start,11,0,0.376,0.464
iroh_dial,stalerelay,cold,stream_open,11,0,83.685,99.847
iroh_dial,stalerelay,warm,address_lookup,10,0,0.081,0.098
iroh_dial,stalerelay,warm,dial_handshake,10,0,0.350,0.380
iroh_dial,stalerelay,warm,echo_rtt,200,0,0.032,0.063
iroh_dial,stalerelay,warm,stream_open,10,0,0.163,0.225
seer_dial,discovery_dnscold,cold,echo_rtt,200,0,0.040,0.073
seer_dial,discovery_dnscold,cold,process_spawn,10,0,0.738,0.811
seer_dial,discovery_dnscold,cold,seer_dial,10,0,322.475,330.518
seer_dial,discovery_dnscold,cold,stream_open,10,0,82.606,94.344
