rev,workload,condition,cache,sample,boundary,ms,status
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,process_spawn,0.661,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,runtime_start,0.377,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,endpoint_bind,1.479,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,address_lookup,129.063,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,dial_handshake,198.754,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,stream_open,83.585,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.208,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.053,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.038,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.033,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.029,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.030,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.029,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.030,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.028,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.030,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.219,ok
e126068a0c17439b85493ac7d326bddd7f257126,iroh_dial,discovery_dnscold,cold,0,echo_rtt,0.031,ok
