workload,condition,cache,boundary,n,fail,median_ms,p95_ms
broker_ready,default,cold,process_ready,21,0,3121.365,3127.723
broker_ready,default,warm,process_ready,20,0,3122.147,3127.085
iroh_dial,discovery,cold,address_lookup,21,0,1.649,129.475
iroh_dial,discovery,cold,dial_handshake,21,0,191.470,200.193
iroh_dial,discovery,cold,echo_rtt,420,0,0.033,0.067
iroh_dial,discovery,cold,endpoint_bind,21,0,1.390,1.538
iroh_dial,discovery,cold,process_spawn,21,0,0.638,0.721
iroh_dial,discovery,cold,runtime_start,21,0,0.346,0.405
iroh_dial,discovery,cold,stream_open,21,0,90.463,94.137
iroh_dial,discovery,warm,address_lookup,20,0,0.079,0.090
iroh_dial,discovery,warm,dial_handshake,20,0,0.354,0.398
iroh_dial,discovery,warm,echo_rtt,400,0,0.032,0.056
iroh_dial,discovery,warm,stream_open,20,0,0.166,0.217
iroh_dial,loopback,cold,address_lookup,21,0,0.094,0.109
iroh_dial,loopback,cold,dial_handshake,21,0,0.547,0.597
iroh_dial,loopback,cold,echo_rtt,420,0,0.045,0.251
iroh_dial,loopback,cold,endpoint_bind,21,0,1.485,1.577
iroh_dial,loopback,cold,process_spawn,21,0,0.636,0.738
iroh_dial,loopback,cold,runtime_start,21,0,0.353,0.407
iroh_dial,loopback,cold,stream_open,21,0,0.473,0.619
iroh_dial,loopback,warm,address_lookup,20,0,0.080,0.088
iroh_dial,loopback,warm,dial_handshake,20,0,0.352,0.421
iroh_dial,loopback,warm,echo_rtt,400,0,0.032,0.055
iroh_dial,loopback,warm,stream_open,20,0,0.173,0.191
iroh_dial,relay,cold,address_lookup,21,0,0.092,0.110
iroh_dial,relay,cold,dial_handshake,21,0,193.626,201.118
iroh_dial,relay,cold,echo_rtt,420,0,76.112,78.126
iroh_dial,relay,cold,endpoint_bind,21,0,1.438,1.562
iroh_dial,relay,cold,process_spawn,21,0,0.660,0.725
iroh_dial,relay,cold,runtime_start,21,0,0.344,0.387
iroh_dial,relay,cold,stream_open,21,0,93.521,97.198
iroh_dial,relay,warm,address_lookup,20,0,0.096,0.104
iroh_dial,relay,warm,dial_handshake,20,0,76.567,76.862
iroh_dial,relay,warm,echo_rtt,400,0,76.208,76.641
iroh_dial,relay,warm,stream_open,20,0,90.178,90.299
iroh_listen,default,cold,endpoint_bind,21,0,1.560,1.642
iroh_listen,default,cold,process_spawn,21,0,0.741,0.769
iroh_listen,default,cold,relay_online,21,0,3118.939,3124.925
iroh_listen,default,cold,runtime_start,21,0,0.392,0.410
iroh_listen,default,warm,endpoint_bind,20,0,1.169,1.510
iroh_listen,default,warm,relay_online,20,0,3119.389,3125.235
iroh_listen,relay,cold,endpoint_bind,21,0,1.562,1.693
iroh_listen,relay,cold,process_spawn,21,0,0.744,0.776
iroh_listen,relay,cold,relay_online,21,0,1365.477,1426.115
iroh_listen,relay,cold,runtime_start,21,0,0.406,0.454
iroh_listen,relay,warm,endpoint_bind,20,0,0.968,1.088
iroh_listen,relay,warm,relay_online,20,0,1368.722,1410.497
seer_dial,discovery,cold,echo_rtt,420,0,0.040,0.063
seer_dial,discovery,cold,process_spawn,21,0,0.703,0.748
seer_dial,discovery,cold,seer_dial,21,0,199.532,204.956
seer_dial,discovery,cold,stream_open,21,0,87.701,96.263
seer_dial,discovery,warm,echo_rtt,400,0,0.040,0.061
seer_dial,discovery,warm,seer_dial,20,0,196.545,205.171
seer_dial,discovery,warm,stream_open,20,0,93.062,223.780
seer_listen,default,cold,process_spawn,21,0,0.650,0.745
seer_listen,default,cold,seer_listen_ready,21,0,3120.110,3126.369
seer_listen,default,warm,seer_listen_ready,20,0,3125.303,3127.110
seer_session,discovery,cold,echo_rtt,420,0,0.037,0.060
seer_session,discovery,cold,process_spawn,21,0,0.651,0.779
seer_session,discovery,cold,seer_dial_session,21,0,203.994,204.935
seer_session,discovery,cold,stream_open,21,0,86.302,96.557
seer_session,discovery,warm,echo_rtt,400,0,0.042,0.057
seer_session,discovery,warm,stream_open,20,0,0.135,0.149
