rev,workload,condition,sample,echoes,payload,cpu_ns,slices,vcsw,nvcsw,threads
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p1550274,discovery,0,100,1550274,359437363,32257,32081,177,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p1550274,discovery,0,100,1550274,356514178,31730,31529,200,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p1550274,discovery,0,100,1550274,359381640,31896,31696,202,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p1550274,discovery,0,100,1550274,379259230,31529,31349,179,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p1550274,discovery,0,100,1550274,363187214,31612,31434,179,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p1550274,discovery,0,100,1550274,357521287,31818,31670,149,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p1550274,discovery,0,100,1550274,371193942,31601,31495,108,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3196090,522,522,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3312689,523,523,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3646859,503,502,1,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3432699,519,519,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3376820,511,511,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3669960,516,513,3,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3600400,524,523,2,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3578540,515,515,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3241450,524,524,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial,discovery,0,100,1,3422228,520,518,2,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3269079,511,510,1,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3373849,514,512,2,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3492819,511,511,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3314300,506,506,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3366560,523,519,4,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3401978,527,526,1,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3738479,513,511,2,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3631290,517,516,1,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3923808,548,545,3,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p115,discovery,0,100,115,3359349,513,512,1,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,4813827,594,591,3,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,5007029,602,601,1,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,4912030,619,617,2,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,4863260,585,585,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,4511009,597,592,5,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,4937379,588,586,2,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,5663467,612,610,2,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,5304838,584,576,8,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,4756029,603,595,8,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p4278,discovery,0,100,4278,5038108,589,589,0,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,94552130,7146,7109,37,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,95149610,7313,7269,44,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,94200511,7145,7115,30,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,94704624,7354,7329,26,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,95293214,7226,7186,41,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,93488592,7176,7131,46,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,94169607,7386,7340,46,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,94509075,7207,7149,58,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,94830495,7338,7290,48,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p297822,discovery,0,100,297822,95116761,7381,7344,37,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,454968922,41236,41070,166,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,450517370,41082,40896,188,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,450525054,41795,41617,178,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,453311388,41849,41609,240,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,448279302,41200,41020,181,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,451981873,41421,41192,234,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,451934408,41251,41026,227,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,450852104,41886,41713,176,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,457164983,41381,41198,183,19
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,seer_dial_p1550274,discovery,0,100,1550274,453052777,41328,41134,197,19
